Block	Treatment	Replicate	Plant	Gloss	BirdPredated	Time	Notes
5	Stat	3	IVY	5.22	1	48	
5	Bla	4	BRA	1.52	1	48	
5	Bla	54	IVY	7.3	0	48	ANTS
5	Irid	13	IVY	4.24	0	48	ALIVE
5	Gre	35	IVY	5.18	1	48	
5	Irid	9	IVY	2.4	0	48	ALIVE
5	Bla	55	IVY	3.38	0	48	ALIVE
5	Bla	10	IVY	5.14	1	48	
5	Irid	25	IVY	6.56	0	48	ALIVE
5	Irid	59	BRA	1.4	1	48	
5	Pur	50	IVY	5.9	1	48	
5	Bla	32	IVY	5.7	0	48	ALIVE
5	Blu	63	BRA	0.66	0	48	ALIVE
5	Gre	3	IVY	5.22	1	48	
5	Gre	37	IVY	3.52	1	48	
5	Gre	38	OAK	1.82	0	48	ANTS
5	Stat	39	HOL	13.14	1	48	
5	Gre	30	HOL	9.16	1	48	
5	Stat	17	BRA	1.2	1	48	
5	Pur	12	IVY	4.24	1	48	
5	Irid	69	HOL	1.1	1	48	
5	Irid	18	BRA	1.3	0	48	ANTS
5	Bla	30	BRA	1.38	1	48	
6	Blu	67	HAZ	1.3	1	2	
6	Pur	10	IVY	11.14	1	2	
6	Pur	129	IVY	2.82	1	2	
6	Bla	52	IVY	5.1	1	2	
6	Pur	127	HOL	9.6	1	2	
6	Gre	32	IVY	11.82	1	2	
6	Stat	58	OAK	0.7	1	2	
6	Gre	17	FER	1.4	1	24	
6	Stat	53	IVY	4.32	0	24	SLUG
6	Blu	3	HAZ	1.38	0	24	SLUG
6	Stat	114	OAK	3.46	1	24	
6	Pur	83	HOL	6.1	1	24	
6	Stat	115	BRA	1.2	1	24	
6	Blu	2	HAW	1.78	1	24	
6	Blu	107	IVY	4.38	1	24	
6	Blu	109	IVY	7.88	1	24	
6	Pur	52	IVY	5.34	1	24	
6	Bla	2	BRA	1.12	1	24	
6	Stat	109	HAZ	0.86	0	24	ANTS
6	Bla	71	BRA	2.08	1	24	
6	Stat	108	OAK	1	0	24	SPIDER
6	Bla	57	OAK	1.1	0	24	ANTS
6	Stat	128	IVY	5.88	1	24	
6	Gre	11	FER	1.98	1	24	
6	Stat	11	OAK	1.16	1	24	
6	Gre	21	YEW	1.7	1	24	
6	Gre	44	IVY	3.4	1	24	
6	Blu	102	HAZ	0.62	0	24	ANTS
6	Pur	102	HAZ	1.4	1	24	
6	Stat	12	IVY	7.96	1	24	
6	Blu	62	IVY	3.38	1	24	
6	Stat	102	HAZ	1	0	24	LOST
6	Blu	61	HOL	7.94	1	24	
6	Stat	106	YEW	3.58	1	24	
6	Pur	2	HOL	12.08	1	24	
6	Pur	87	IVY	4.28	1	24	
6	Gre	50	IVY	7.1	1	24	
6	Gre	104	IVY	4.08	1	24	
6	Blu	108	IVY	4.82	1	24	
6	Irid	24	IVY	2.84	1	24	
6	Irid	101	BRA	1.3	1	24	
6	Gre	6	BEE	2.54	1	24	
6	Blu	64	IVY	6.88	0	24	ANTS
6	Gre	36	HOL	6.9	1	24	
6	Pur	125	IVY	3.86	1	24	
6	Irid	106	FER	1.8	1	24	
6	Stat	50	HOL	7.5	1	24	
6	Gre	14	HOL	6.98	1	24	
6	Bla	105	BEE	3.58	1	24	
6	Bla	102	IVY	7.88	1	48	
6	Irid	54	IVY	5.1	1	48	
6	Irid	60	PRI	1.6	1	48	
6	Bla	53	IVY	2.4	1	48	
6	Gre	84	IVY	1.28	1	48	
6	Bla	103	OAK	1.4	1	48	
6	Irid	53	HAZ	1.52	1	48	
6	Pur	13	IVY	5.88	1	48	
6	Bla	70	BRA	1.3	1	48	
6	Bla	36	IVY	8.04	1	48	
6	Gre	45	IVY	5.58	1	48	
6	Irid	2	HOL	3.58	0	48	ANTS
6	Blu	104	HOL	13.86	1	48	
6	Pur	100	IVY	4.58	1	48	
6	Gre	100	FER	1.5	1	48	
6	Bla	81	IVY	3.14	1	48	
6	Pur	15	FER	0.8	1	48	
6	Irid	114	IVY	5.92	1	48	
6	Gre	85	OAK	2.62	1	48	
6	Pur	104	HOL	7.4	1	48	
6	Stat	10	HOL	11.48	1	48	
6	Bla	35	IVY	2.9	0	48	SLUG
6	Irid	104	IVY	4.96	1	48	
6	Blu	50	HAZ	1.38	0	48	SLUG
6	Pur	126	IVY	7.7	0	48	ANTS
6	Stat	122	IVY	9.02	1	48	
6	Irid	107	IVY	3.5	0	48	ANTS
6	Irid	50	IVY	9.04	1	48	
6	Blu	6	BEE	4.04	1	48	
6	Irid	116	HOL	6.9	0	48	ANTS
6	Bla	74	HAW	1.9	1	48	
6	Gre	81	OAK	1.46	1	48	
6	Bla	106	IVY	5.48	0	48	ALIVE
6	Blu	35	IVY	6.4	0	48	ALIVE
6	Irid	15	HOL	16.68	0	48	ALIVE
6	Irid	23	IVY	6.5	0	48	ALIVE
6	Stat	14	IVY	9.1	0	48	ALIVE
6	Bla	83	IVY	7.38	0	48	ALIVE
6	Irid	51	IVY	11.08	0	48	ALIVE
6	Bla	104	IVY	2.86	0	48	ALIVE
7	Blu	69	IVY	0.66	1	2	
7	Gre	112	IVY	8.52	1	2	
7	Stat	120	HAZ	1.2	1	2	
7	Blu	66	BRA	7.32	1	2	
7	Blu	51	OAK	1.1	1	2	
7	Pur	103	IVY	3.38	1	2	
7	Irid	64	IVY	3.52	1	2	
7	Stat	111	IVY	6.28	1	2	
7	Blu	7	HOL	2.98	1	2	
7	Blu	111	BRA	1.38	1	2	
7	Pur	51	IVY	6.22	1	24	
7	Blu	18	IVY	5.72	1	24	
7	Gre	82	HOL	12.18	1	24	
7	Blu	11	BEE	2.54	1	24	
7	Pur	31	HAZ	1.18	1	24	
7	Pur	17	BEE	3.12	1	24	
7	Stat	19	IVY	8.66	1	24	
7	Gre	101	OAK	1.52	1	24	
7	Pur	4	OAK	1.98	1	24	
7	Stat	103	BRA	1.86	1	24	
7	Blu	100	IVY	6	1	24	
7	Pur	105	IVY	5.56	1	24	
7	Bla	31	BEE	2.58	1	24	
7	Stat	55	ALD	2.26	1	24	
7	Irid	66	OAK	2.6	1	24	
7	Stat	57	BRA	1.6	1	24	
7	Pur	9	IVY	2.48	1	24	
7	Blu	51	IVY	5.72	1	24	
7	Blu	38	IVY	3.82	1	24	
7	Irid	113	YEW	2.66	1	24	
7	Irid	56	YEW	2.4	1	24	
7	Irid	10	IVY	11.16	1	24	
7	Blu	112	HOL	7.44	1	24	
7	Bla	30	BRA	2.8	1	24	
7	Bla	121	BRA	1.7	1	24	
7	Irid	57	BEE	3	1	24	
7	Stat	2	BRA	2.1	1	24	
7	Gre	83	IVY	9.26	1	24	
7	Stat	43	HAZ	1.3	1	24	
7	Stat	54	BRA	1.12	1	24	
7	Pur	107	IVY	4.6	1	24	
7	Bla	37	IVY	9	1	24	
7	Stat	116	HAZ	1.66	1	24	
7	Stat	115	IVY	2.9	1	24	
7	Blu	32	HAZ	1.62	1	24	
7	Pur	11	PRI	2.34	1	24	
7	Pur	82	IVY	8.54	1	24	
7	Blu	103	IVY	7.82	1	24	
7	Gre	33	HAZ	1.1	1	24	
7	Blu	105	HOL	14.16	1	24	
7	Stat	119	IVY	7.1	1	24	
7	Blu	18	BEE	2.88	1	24	
7	Irid	55	IVY	9.66	1	24	
7	Pur	86	IVY	5.86	1	24	
7	Gre	110	IVY	3.36	1	24	
7	Pur	106	HOL	8	1	24	
7	Pur	101	IVY	6.78	1	24	
7	Stat	110	IVY	4.56	1	24	
7	Gre	106	IVY	5.8	1	24	
7	Pur	6	IVY	5.1	1	24	
7	Pur	90	BEE	3.5	1	24	
7	Blu	100	IVY	3.8	0	48	LOST
7	Irid	115	HAZ	2.5	0	48	ALIVE
7	Bla	17	YEW	1.8	0	48	ALIVE
7	Irid	26	BRA	1.28	1	48	
7	Stat	36	YEW	4.24	1	48	
7	Irid	63	YEW	3.76	0	48	LOST
7	Gre	15	YEW	2.9	0	48	LOST
7	Gre	108	HOL	10.38	1	48	
7	Bla	107	HAZ	1.3	1	48	
7	Irid	100	HAZ	1.1	0	48	ALIVE
7	Irid	61	HAW	2.3	0	48	SLUG
7	Bla	73	IVY	4.52	0	48	LOST
7	Blu	113	IVY	2.82	0	48	LOST
7	Bla	15	BRA	1.18	0	48	SLUG
7	Bla	82	IVY	5.58	0	48	SLUG
7	Gre	12	HOL	10.74	1	48	
7	Gre	103	BRA	2.08	0	48	LOST
7	Gre	10	IVY	8.98	1	48	
7	Bla	72	IVY	5.56	1	48	
7	Stat	32	IVY	7.02	1	48	
7	Irid	110	BEE	2.8	1	48	
7	Irid	111	IVY	6.9	0	48	ALIVE
7	Bla	103	BEE	3.2	0	48	LOST
7	Bla	6	HOL	9.6	0	48	ALIVE
7	Bla	77	IVY	5.02	0	48	SLUG
7	Bla	16	HOL	1.3	1	48	
7	Irid	22	HAZ	1.5	0	48	SLUG
7	Gre	40	IVY	5.7	1	48	
7	Gre	105	OAK	2	1	48	
8	Pur	52	IVY	4.2	1	2	
8	Blu	109	IVY	7.48	1	2	
8	Stat	14	HOL	9.5	1	2	
8	Bla	4	BRA	1.3	1	2	
8	Blu	33	HOL	9.82	1	2	
8	Stat	51	IVY	6.48	1	2	
8	Blu	36	HOL	5.2	1	2	
